2024-05-27 14:14:18 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-27 14:14:18 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - Starting RingRingRingApplication using Java 17.0.7 with PID 12700 (G:\project\RingRingRing\target\classes started by WeSeongGu in G:\project\RingRingRing)
2024-05-27 14:14:18 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - The following 1 profile is active: "local"
2024-05-27 14:14:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-27 14:14:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-27 14:14:18 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-27 14:14:19 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 5 JPA repository interfaces.
2024-05-27 14:14:19 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2024-05-27 14:14:19 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2024-05-27 14:14:19 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-27 14:14:19 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-27 14:14:19 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-27 14:14:19 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1425 ms
2024-05-27 14:14:19 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-27 14:14:20 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-27 14:14:20 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-27 14:14:20 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-27 14:14:20 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-27 14:14:20 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37b34622
2024-05-27 14:14:20 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-27 14:14:21 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-27 14:14:21 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-27 14:14:21 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-27 14:14:22 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-27 14:14:23 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@728452c2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1db768e6, org.springframework.security.web.context.SecurityContextHolderFilter@36d91ff, org.springframework.security.web.header.HeaderWriterFilter@4ef107cc, org.springframework.web.filter.CorsFilter@60f2f613, org.springframework.security.web.authentication.logout.LogoutFilter@55e452a6, com.hallym.project.RingRingRing.jwt.JWTFilter@3bf61e3d, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@66a2cdfd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@778b511f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6bb459c3, org.springframework.security.web.session.SessionManagementFilter@45575782, org.springframework.security.web.access.ExceptionTranslationFilter@609f347e, org.springframework.security.web.access.intercept.AuthorizationFilter@61938576]
2024-05-27 14:14:23 [restartedMain] INFO  o.s.l.c.s.AbstractContextSource - Property 'userDn' not set - anonymous context will be used for read-only operations
2024-05-27 14:14:24 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-27 14:14:24 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2024-05-27 14:14:24 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2024-05-27 14:14:24 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - Started RingRingRingApplication in 6.097 seconds (process running for 6.65)
2024-05-27 14:14:25 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-27 14:14:25 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
