2024-05-28 09:28:31 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-05-28 09:28:31 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - Starting RingRingRingApplication using Java 17.0.7 with PID 23040 (G:\project\RingRingRing\target\classes started by WeSeongGu in G:\project\RingRingRing)
2024-05-28 09:28:31 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - The following 1 profile is active: "local"
2024-05-28 09:28:31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-05-28 09:28:31 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-05-28 09:28:32 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-28 09:28:32 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 5 JPA repository interfaces.
2024-05-28 09:28:33 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 9090 (http)
2024-05-28 09:28:33 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9090"]
2024-05-28 09:28:33 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-05-28 09:28:33 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-05-28 09:28:33 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-05-28 09:28:33 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1791 ms
2024-05-28 09:28:33 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2024-05-28 09:28:33 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2024-05-28 09:28:33 [restartedMain] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-28 09:28:33 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-28 09:28:33 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-05-28 09:28:34 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@76142537
2024-05-28 09:28:34 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-05-28 09:28:34 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-28 09:28:34 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-28 09:28:35 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-28 09:28:35 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-05-28 09:28:36 [restartedMain] WARN  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Multiple @RequestMapping annotations found on public java.lang.String com.hallym.project.RingRingRing.AI.AICallController.check(), but only the first will be used: [@org.springframework.web.bind.annotation.GetMapping(consumes={}, headers={}, name="", params={}, path={"/isconnected"}, produces={}, value={"/isconnected"}), @org.springframework.web.bind.annotation.PostMapping(consumes={}, headers={}, name="", params={}, path={"/deliveryAI"}, produces={}, value={"/deliveryAI"})]
2024-05-28 09:28:37 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5b660ae5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@12aa94e4, org.springframework.security.web.context.SecurityContextHolderFilter@5642f602, org.springframework.security.web.header.HeaderWriterFilter@37ce65b9, org.springframework.web.filter.CorsFilter@5d43d8d5, org.springframework.security.web.authentication.logout.LogoutFilter@75f02cf7, com.hallym.project.RingRingRing.jwt.JWTFilter@110f1acd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@25ab5e1f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1126ffad, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7a550b2b, org.springframework.security.web.session.SessionManagementFilter@5d8c98ce, org.springframework.security.web.access.ExceptionTranslationFilter@f255d25, org.springframework.security.web.access.intercept.AuthorizationFilter@5be2888c]
2024-05-28 09:28:37 [restartedMain] INFO  o.s.l.c.s.AbstractContextSource - Property 'userDn' not set - anonymous context will be used for read-only operations
2024-05-28 09:28:37 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-28 09:28:37 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2024-05-28 09:28:37 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9090 (http) with context path ''
2024-05-28 09:28:37 [restartedMain] INFO  c.h.p.R.RingRingRingApplication - Started RingRingRingApplication in 6.6 seconds (process running for 7.31)
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.aspect.LoggingAspectOfLogin - [Login Request]: ip: 0:0:0:0:0:0:0:1 Resources Accessed: ResponseEntity com.hallym.project.RingRingRing.Login.LoginController.loginController(LoginDTO)
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.aspect.LoggingAspectOfLogin - [Processing Start]: ResponseEntity com.hallym.project.RingRingRing.Login.LoginService.loginService(LoginDTO) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [DB Transaction Start]: List com.hallym.project.RingRingRing.joinmember.repository.UserRepository.findByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [Normal DB Transaction End]: List com.hallym.project.RingRingRing.joinmember.repository.UserRepository.findByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [DB Transaction End]: List com.hallym.project.RingRingRing.joinmember.repository.UserRepository.findByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [DB Transaction Start]: boolean com.hallym.project.RingRingRing.joinmember.repository.UserRepository.existsByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [Normal DB Transaction End]: boolean com.hallym.project.RingRingRing.joinmember.repository.UserRepository.existsByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.a.LoggingAspectOfJoinMember - [DB Transaction End]: boolean com.hallym.project.RingRingRing.joinmember.repository.UserRepository.existsByEmail(String) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.aspect.LoggingAspectOfLogin - [Normal Processing End]: ResponseEntity com.hallym.project.RingRingRing.Login.LoginService.loginService(LoginDTO) 
2024-05-28 09:28:43 [http-nio-9090-exec-1] INFO  c.h.p.R.aspect.LoggingAspectOfLogin - [Processing End]: ResponseEntity com.hallym.project.RingRingRing.Login.LoginService.loginService(LoginDTO) 
